[2;1] Real,0.000117135,1.62215e-05,4.43022e-05,0.000151342,0.00015498,5.82379e-05,1.44963e-05,4.2367e-05,2.17175e-05,-5.34616e-05,-5.64303e-05,2.38454e-05,4.46322e-05,-3.37192e-05,-7.79799e-05,-2.99139e-05,6.55654e-06,-1.71617e-05,-3.06983e-05,-3.15709e-05,-8.11326e-05,-0.000118347,-4.44651e-05,5.2458e-05,2.80491e-05,-5.19056e-05,-4.21001e-05,8.10927e-06,-2.80721e-05,-9.75212e-05,-7.08441e-05,1.93516e-05,5.15281e-05,1.82572e-05,-9.90373e-06,-2.27599e-05,-3.56178e-05,-1.1427e-05,5.85275e-05,8.61085e-05,2.14151e-05,-3.27256e-05,2.10583e-05,9.06804e-05,3.50273e-05,-8.7837e-05,-0.000105395,-1.24044e-05,3.18569e-05,-3.71827e-05,-0.000119223,-0.000131071,-0.000100218,-7.28908e-05,-4.87627e-05,-1.50343e-05,2.48426e-05,5.26944e-05,4.34689e-05,1.51232e-06,-1.89401e-05,1.73891e-05,6.18069e-05,5.01231e-05,-8.14844e-05,1.78615e-05,5.67415e-05,4.20562e-05,7.35436e-05,0.000126706,8.92767e-05,-7.67516e-06,-2.49193e-05,3.34691e-05,4.19273e-05,6.94952e-06,4.43668e-05,0.000119287,7.43403e-05,-7.98605e-05,-0.00015695,-9.55975e-05,-3.5078e-05,-5.65087e-05,-6.06619e-05,2.91742e-05,0.000114083,6.93612e-05,-5.98009e-05,-0.000119207,-5.67553e-05,2.08536e-05,7.76914e-06,-5.52285e-05,-4.59191e-05,5.79715e-05,0.000137893,9.27557e-05,-2.56216e-05,-8.05913e-05,-2.53238e-05,4.01315e-05,8.73552e-06,-7.14792e-05,-6.57666e-05,1.64073e-05,2.19954e-05,-6.86498e-05,-9.38947e-05,-2.05446e-05,-1.40979e-05,-0.000100221,-9.20826e-05,4.40321e-05,0.000113603,5.70659e-05,1.76368e-05,2.9865e-05,1.02988e-05,7.50452e-06,0.000100718,0.000164802,7.36654e-05,-3.40395e-05,2.99998e-06,7.51835e-05,2.10802e-05,-8.62514e-05
[2;1] Imag,5.95375e-05,1.01595e-05,0.000100268,0.000172662,0.000109683,2.27828e-05,2.67e-05,4.36772e-05,-1.66925e-05,-6.98898e-05,-1.87049e-05,4.92507e-05,1.13281e-05,-6.81965e-05,-6.10583e-05,-3.5901e-06,-9.7278e-07,-2.85581e-05,-2.82577e-05,-5.02314e-05,-0.000109769,-9.49583e-05,1.29595e-05,5.71132e-05,-1.664e-05,-6.04984e-05,-1.16951e-05,2.27578e-06,-6.87191e-05,-9.84683e-05,-2.52248e-05,4.63755e-05,3.86382e-05,1.22111e-06,-1.67242e-05,-3.05441e-05,-3.07661e-05,2.16178e-05,8.40022e-05,6.21461e-05,-1.6635e-05,-1.83365e-05,6.57088e-05,8.06903e-05,-3.02499e-05,-0.000115926,-6.33362e-05,2.43008e-05,7.23252e-06,-8.40486e-05,-0.000134192,-0.000117444,-8.50523e-05,-6.14007e-05,-3.34122e-05,5.02768e-06,4.19276e-05,5.35536e-05,2.4191e-05,-1.5185e-05,-7.05488e-06,4.38617e-05,6.45139e-05,2.55815e-05,-3.09504e-05,4.93221e-05,4.89069e-05,4.8851e-05,0.000105698,0.000122482,3.86458e-05,-3.11964e-05,3.0318e-06,4.84478e-05,2.21457e-05,1.33026e-05,8.72029e-05,0.000117721,5.49459e-07,-0.000138286,-0.000137561,-5.50662e-05,-3.87497e-05,-6.96554e-05,-2.49491e-05,8.27691e-05,0.000109792,5.71332e-06,-0.00010591,-9.9224e-05,-1.04645e-05,2.70719e-05,-2.58487e-05,-6.5055e-05,4.55234e-08,0.000109886,0.000131145,3.43913e-05,-6.75616e-05,-6.34274e-05,1.52149e-05,3.80846e-05,-3.46522e-05,-8.41501e-05,-2.49474e-05,3.58648e-05,-2.02101e-05,-9.77246e-05,-6.07692e-05,-5.58816e-07,-5.55191e-05,-0.000117471,-2.99707e-05,9.78507e-05,9.3838e-05,2.75412e-05,2.2973e-05,2.5565e-05,-1.53066e-06,4.50012e-05,0.000149452,0.000135756,6.66255e-06,-3.27048e-05,4.87963e-05,6.46722e-05,-3.73449e-05,-0.000108008
[2;2] Real,-9.64141e-05,-6.90226e-05,-6.8636e-05,-9.51502e-05,-0.000100056,-6.6265e-05,-4.86274e-05,-7.71076e-05,-9.86094e-05,-6.902e-05,-2.39042e-05,-1.70479e-05,-4.44379e-05,-5.42033e-05,-1.97854e-05,1.0019e-05,-2.20923e-05,-7.37599e-05,-6.07114e-05,-6.85096e-06,4.73086e-06,-6.09057e-06,3.10704e-05,8.62912e-05,9.14506e-05,5.88654e-05,1.62675e-05,-4.17938e-05,-6.87666e-05,-5.49094e-06,7.95863e-05,8.31402e-05,5.76699e-05,9.88158e-05,0.000127971,2.00612e-05,-0.000139535,-0.000160984,-4.72532e-05,3.2309e-05,1.57449e-05,-1.57502e-05,-3.59873e-05,-8.17676e-05,-9.5353e-05,-9.12339e-06,5.52827e-05,-4.30714e-05,-0.00016898,-0.000113088,2.44175e-05,1.75629e-05,-7.24684e-05,-5.36602e-05,1.51849e-05,-2.22745e-05,-9.12585e-05,-4.97175e-05,2.86302e-05,6.93347e-06,-7.63002e-05,-0.000106995,-6.36331e-05,4.5721e-06,-1.58749e-05,-3.19129e-05,-0.000108145,-0.000128252,-6.03305e-06,0.000111462,7.69378e-05,-1.36018e-05,-2.25665e-05,-7.37658e-06,-5.58872e-05,-8.77659e-05,-1.51937e-05,7.08081e-05,5.52588e-05,-3.33445e-06,6.39506e-06,5.71433e-05,6.47468e-05,4.53673e-05,4.63547e-05,3.2507e-05,-2.26155e-05,-4.65448e-05,4.63853e-06,4.79586e-05,1.54893e-05,-3.28265e-05,-3.81571e-05,-4.47184e-05,-7.919e-05,-7.9071e-05,-3.25917e-05,-2.88587e-05,-8.27335e-05,-8.91874e-05,-2.8777e-05,-1.09861e-05,-4.99963e-05,-3.74658e-05,2.14562e-05,1.30589e-05,-4.44768e-05,-4.67727e-05,-2.69758e-05,-5.76193e-05,-6.99352e-05,-1.88386e-05,-3.49929e-06,-3.49652e-05,1.07041e-05,0.000104837,0.000100854,5.07802e-05,8.36877e-05,9.79088e-05,-1.22382e-05,-7.13628e-05,3.92578e-05,0.000104403,-1.27108e-05,-9.48274e-05,-1.95732e-06,6.76799e-05
[2;2] Imag,-8.17998e-05,-6.40544e-05,-8.05522e-05,-0.000103511,-8.58941e-05,-5.11608e-05,-5.89614e-05,-9.34839e-05,-8.95128e-05,-4.41352e-05,-1.44376e-05,-2.91753e-05,-5.46584e-05,-4.14062e-05,8.01589e-07,2.15401e-06,-5.2211e-05,-7.73678e-05,-3.22718e-05,6.15411e-06,-3.90391e-06,5.79131e-06,6.22017e-05,9.58627e-05,7.69914e-05,3.95984e-05,-1.1979e-05,-6.48247e-05,-4.72814e-05,4.2887e-05,9.21596e-05,6.59065e-05,7.02801e-05,0.000125086,9.19507e-05,-6.63142e-05,-0.000174242,-0.000111288,6.08411e-06,3.20755e-05,-3.24434e-06,-2.41358e-05,-5.60877e-05,-0.000100021,-6.18566e-05,3.90747e-05,2.49432e-05,-0.000119817,-0.000165874,-3.73717e-05,4.353e-05,-3.1498e-05,-8.03866e-05,-1.2999e-05,1.16244e-05,-6.4798e-05,-8.56222e-05,-3.89822e-06,3.28016e-05,-3.54358e-05,-0.00010242,-9.18139e-05,-2.88794e-05,2.79537e-05,-1.61551e-05,-6.67938e-05,-0.000135435,-8.00776e-05,6.69895e-05,0.000112374,2.68959e-05,-2.92051e-05,-9.57702e-06,-2.4811e-05,-8.28117e-05,-6.29997e-05,3.64916e-05,7.63376e-05,2.21198e-05,-8.83985e-06,3.34333e-05,6.76582e-05,5.40131e-05,4.41618e-05,4.49991e-05,6.91343e-06,-4.38272e-05,-2.72525e-05,3.39657e-05,3.99865e-05,-1.2439e-05,-4.02142e-05,-3.71916e-05,-6.09361e-05,-8.76377e-05,-5.71313e-05,-2.00373e-05,-5.42865e-05,-9.80367e-05,-6.10004e-05,-8.63586e-06,-3.03442e-05,-5.48305e-05,-5.76399e-06,2.92432e-05,-1.76917e-05,-5.43539e-05,-3.25251e-05,-3.74794e-05,-7.26993e-05,-4.77681e-05,-1.03348e-06,-2.08672e-05,-2.59958e-05,6.20299e-05,0.000118259,7.05973e-05,5.71827e-05,0.000105202,5.32906e-05,-6.34447e-05,-2.98716e-05,9.5089e-05,6.09587e-05,-7.58996e-05,-6.31231e-05,5.20455e-05,3.86682e-05
[2;3] Real,-6.70295e-05,2.93649e-05,4.94988e-05,-6.42172e-06,-2.8451e-05,2.66143e-05,0.000101208,0.000120675,5.85036e-05,-2.24855e-05,-1.90922e-05,6.1718e-05,0.000100199,6.65672e-05,5.76936e-05,8.34785e-05,4.15844e-05,-5.34597e-05,-7.11339e-05,-1.8909e-05,-3.22737e-05,-0.00011276,-0.000130566,-6.17425e-05,3.17131e-06,3.49036e-05,6.67082e-05,9.0941e-05,8.21383e-05,4.73912e-05,7.79648e-07,-3.36213e-05,-2.24264e-05,-6.70249e-06,-7.64509e-05,-0.000185413,-0.000172286,-3.5953e-05,4.51361e-05,1.85214e-05,8.3675e-06,3.84407e-05,7.35206e-06,-5.77877e-05,-2.89566e-05,5.93368e-05,5.96209e-05,-1.47719e-05,-2.1732e-05,5.35411e-05,9.31957e-05,4.90899e-05,-2.33837e-05,-8.45384e-05,-0.000120987,-8.66428e-05,3.09621e-05,0.000123725,8.25674e-05,-2.4257e-05,-4.39345e-05,1.98889e-05,3.54287e-05,-1.70261e-05,2.16386e-06,-2.54004e-05,1.03348e-06,5.34526e-05,3.9032e-05,-3.18291e-05,-7.87411e-05,-7.67991e-05,-4.57755e-05,-6.93723e-06,-5.19137e-06,-6.05742e-05,-9.16082e-05,-2.90517e-05,3.27445e-05,-2.32476e-05,-0.000115407,-9.46532e-05,-4.84793e-06,1.96572e-05,3.92673e-06,3.57105e-05,5.00677e-05,-3.79618e-05,-0.000123405,-7.85526e-05,6.64758e-06,-2.35554e-05,-0.00012843,-0.000161926,-0.00011476,-9.00291e-05,-0.000113543,-0.000110848,-4.2497e-05,3.37435e-05,4.1335e-05,-2.09702e-05,-8.34882e-05,-9.04751e-05,-5.74428e-05,-3.53642e-05,-3.40504e-05,-1.02301e-05,5.41774e-05,9.6755e-05,5.24523e-05,-3.47423e-05,-6.06044e-05,-9.74636e-06,4.42928e-05,7.44863e-05,0.00011307,0.000140348,0.000105405,5.63324e-05,8.69964e-05,0.000142048,6.63574e-05,-0.000106,-0.000133885,5.59909e-05,0.000207543,0.000114695
[2;3] Imag,-1.65603e-05,5.33965e-05,2.44185e-05,-2.72952e-05,-8.22155e-06,6.64115e-05,0.00012104,9.8567e-05,1.3224e-05,-3.5445e-05,1.86602e-05,9.28634e-05,8.69007e-05,5.38537e-05,7.27981e-05,7.50172e-05,-7.86955e-06,-7.67884e-05,-4.51766e-05,-1.21332e-05,-7.18021e-05,-0.000135376,-0.000102154,-2.40947e-05,2.14185e-05,4.95772e-05,8.16948e-05,9.12195e-05,6.70813e-05,2.44536e-05,-2.06126e-05,-3.36844e-05,-8.58099e-06,-2.88314e-05,-0.000136556,-0.00020076,-0.000109072,2.0987e-05,3.83104e-05,4.84009e-06,2.5209e-05,3.37389e-05,-3.0345e-05,-5.83041e-05,1.80772e-05,7.5074e-05,2.26866e-05,-3.25101e-05,1.21592e-05,8.4408e-05,7.92674e-05,1.21999e-05,-5.57997e-05,-0.000107551,-0.000116128,-3.44421e-05,9.03767e-05,0.000120601,2.62361e-05,-5.01156e-05,-1.41553e-05,3.96001e-05,1.16819e-05,-3.41997e-05,-1.40387e-05,-2.08354e-05,3.07106e-05,5.7086e-05,5.56447e-06,-6.15532e-05,-8.31118e-05,-6.39275e-05,-2.47351e-05,1.78024e-06,-2.90738e-05,-8.62167e-05,-6.97023e-05,1.2062e-05,1.94891e-05,-7.63376e-05,-0.000122039,-4.83084e-05,1.88768e-05,9.05321e-06,1.38275e-05,5.4017e-05,1.67514e-05,-9.30465e-05,-0.000116853,-2.82835e-05,8.66164e-06,-7.69979e-05,-0.000158983,-0.000142144,-9.484e-05,-9.94575e-05,-0.000120247,-8.30575e-05,4.72678e-07,4.8311e-05,1.52952e-05,-5.67545e-05,-9.46374e-05,-7.60587e-05,-4.26555e-05,-3.38163e-05,-2.80984e-05,1.89103e-05,8.4195e-05,8.57782e-05,7.03808e-06,-5.94508e-05,-4.07304e-05,2.07763e-05,6.06666e-05,9.18855e-05,0.000131915,0.000130926,7.57111e-05,5.99557e-05,0.000121847,0.00012599,-2.13441e-05,-0.000151536,-5.54115e-05,0.000156967,0.000189671,1.8204e-05
[2;4] Real,5.991e-05,6.84943e-05,5.95143e-08,-3.97779e-05,6.87591e-06,9.83438e-05,0.000141879,9.42161e-05,1.90761e-05,-1.09856e-05,-4.25367e-05,-0.000139578,-0.000207634,-0.000127705,2.84133e-06,1.38144e-05,-5.28672e-05,-6.16806e-05,-3.6087e-05,-4.30662e-05,-2.57226e-05,3.79465e-05,4.87101e-05,-4.10925e-06,-1.92061e-05,-1.06219e-05,-5.74222e-05,-8.23478e-05,3.51999e-06,7.3484e-05,7.02676e-06,-6.70716e-05,-2.01386e-05,3.82741e-05,-6.16635e-06,-7.66423e-05,-9.60866e-05,-9.37732e-05,-5.20074e-05,6.85123e-05,0.000158982,0.000103272,1.1921e-05,3.77339e-05,9.90308e-05,6.43534e-05,2.00192e-05,6.98761e-05,9.23062e-05,-2.15071e-05,-0.000127419,-8.95453e-05,-2.64574e-05,-6.25897e-05,-0.00010282,-5.42733e-05,2.22e-06,1.44526e-05,5.38381e-05,0.000111839,8.57324e-05,1.28878e-05,3.24096e-05,0.000111126,5.52286e-05,0.000126177,8.32773e-05,-1.16045e-05,-4.05211e-05,2.62681e-05,9.65653e-05,5.63831e-05,-6.62949e-05,-0.000106335,-1.26703e-05,4.83032e-05,-2.5192e-05,-8.82758e-05,-1.96241e-05,6.54108e-05,4.63422e-05,-7.59081e-06,-1.7123e-05,-2.62048e-05,-6.48381e-05,-8.66953e-05,-7.04589e-05,-3.19031e-05,2.24627e-05,6.08088e-05,3.82012e-05,-1.6549e-05,-3.13012e-05,1.94649e-06,3.49437e-05,3.24261e-05,-7.32788e-06,-4.08933e-05,-7.03546e-06,7.67568e-05,0.000112757,5.56858e-05,-3.56434e-05,-7.15174e-05,3.70352e-06,0.000144293,0.000192047,7.82574e-05,-3.09551e-05,3.45273e-06,5.18746e-05,-8.97905e-06,-4.32697e-05,3.38367e-05,3.50069e-05,-0.000114641,-0.000168561,-1.6983e-05,7.28062e-05,-6.4903e-05,-0.000203403,-0.000148689,-5.27064e-05,-8.17319e-05,-0.000125049,-4.44628e-05,6.87406e-05,8.08047e-05
[2;4] Imag,7.83808e-05,3.73605e-05,-2.89726e-05,-2.67188e-05,5.21591e-05,0.000131388,0.000128106,5.32373e-05,-1.93305e-06,-1.96535e-05,-8.47044e-05,-0.00018832,-0.000185645,-5.51953e-05,2.64144e-05,-2.02046e-05,-6.7263e-05,-4.67692e-05,-3.66415e-05,-4.23512e-05,5.24204e-06,5.51301e-05,2.4185e-05,-2.00965e-05,-1.13382e-05,-2.72764e-05,-8.20384e-05,-5.05617e-05,5.32403e-05,5.4772e-05,-4.24855e-05,-5.67915e-05,1.94919e-05,2.75185e-05,-4.64142e-05,-9.16523e-05,-9.60417e-05,-8.27637e-05,1.51596e-06,0.000128911,0.000147616,4.86063e-05,9.95585e-06,7.56756e-05,9.30301e-05,3.28665e-05,3.62149e-05,9.62419e-05,4.85282e-05,-8.90282e-05,-0.000124342,-4.87367e-05,-3.36281e-05,-9.22812e-05,-8.74855e-05,-1.96888e-05,1.02488e-05,2.69033e-05,8.78795e-05,0.000112167,4.48436e-05,7.43083e-06,7.5401e-05,0.000119429,0.00010273,0.000118124,3.40319e-05,-3.88205e-05,-1.56937e-05,6.91212e-05,9.36021e-05,-3.6772e-06,-0.000106219,-6.90722e-05,3.46119e-05,2.35378e-05,-7.1156e-05,-6.75164e-05,3.25575e-05,6.80249e-05,1.59558e-05,-1.71324e-05,-1.77154e-05,-4.37853e-05,-8.06329e-05,-8.27138e-05,-5.3373e-05,-5.48014e-06,4.69612e-05,5.73508e-05,1.03128e-05,-3.15652e-05,-1.84711e-05,2.16666e-05,3.93995e-05,1.53164e-05,-2.94009e-05,-3.37451e-05,3.39978e-05,0.000106086,9.43331e-05,8.41389e-06,-6.5731e-05,-4.79739e-05,7.45813e-05,0.000189106,0.000149386,9.17009e-06,-2.93302e-05,3.90465e-05,3.17866e-05,-4.16229e-05,-1.13155e-05,5.75506e-05,-3.18985e-05,-0.00017073,-0.000107231,5.58338e-05,2.46621e-05,-0.0001539,-0.000197061,-9.00376e-05,-5.29017e-05,-0.000114178,-9.97635e-05,1.91692e-05,8.89626e-05,6.03878e-05
[2;5] Real,0.000115724,5.42891e-05,-4.87118e-05,-7.27662e-05,-3.52244e-05,-2.44596e-05,-3.30327e-05,-6.04641e-06,2.50458e-05,9.086e-06,-1.22357e-05,4.45424e-06,1.23071e-05,-1.32319e-05,-1.34111e-05,1.8595e-05,1.20117e-05,-2.49061e-05,-1.47493e-05,1.15432e-05,-4.38411e-05,-0.000135233,-0.000118309,-4.76617e-07,5.18224e-05,-2.78185e-05,-0.000108479,-7.49863e-05,-7.34401e-06,-4.86168e-05,-0.000172132,-0.000217165,-0.000134564,-4.77992e-05,-5.22975e-05,-9.6534e-05,-0.000100838,-7.2445e-05,-5.70834e-05,-6.27867e-05,-6.836e-05,-6.06315e-05,-4.63365e-05,-4.12073e-05,-4.71108e-05,-5.15617e-05,-5.7431e-05,-7.92464e-05,-0.000102329,-9.72138e-05,-7.60045e-05,-6.93854e-05,-5.87497e-05,-1.27348e-05,2.85586e-05,7.88036e-06,-2.59853e-05,2.82245e-05,0.000141173,0.000164087,6.88725e-05,2.29117e-05,0.00012189,0.000203916,-7.40221e-05,2.25005e-05,7.62946e-05,1.22219e-06,-0.000106619,-0.000107044,-3.07423e-05,6.14125e-06,-3.24617e-06,-6.28515e-06,-1.68078e-05,-4.687e-05,-4.17364e-05,1.41071e-06,-1.67472e-06,-5.43431e-05,-5.07855e-05,2.27786e-05,5.20802e-05,4.04463e-06,-2.4623e-05,3.57453e-06,1.38374e-05,-2.67068e-05,-5.30733e-05,-1.36331e-05,5.76791e-05,8.02134e-05,6.2047e-06,-0.000115715,-0.000171098,-0.000110992,-1.16638e-05,3.22605e-05,1.71868e-05,2.9699e-06,2.90502e-05,7.8997e-05,0.000103486,8.34897e-05,6.4795e-05,9.01544e-05,0.000120777,9.13024e-05,1.57136e-05,-3.35776e-05,-2.54498e-05,1.19128e-05,4.2355e-05,4.82103e-05,3.94274e-05,5.58079e-05,0.000115838,0.000162962,0.00012405,2.01225e-05,-4.75481e-05,-2.62243e-05,3.08044e-05,4.67483e-05,2.12056e-05,2.12349e-05,7.59713e-05,0.000118748
[2;5] Imag,9.8446e-05,-1.60169e-06,-7.29898e-05,-5.53759e-05,-2.43957e-05,-3.04945e-05,-2.41169e-05,1.33637e-05,2.23662e-05,-5.21241e-06,-7.41461e-06,1.31955e-05,1.12266e-06,-1.98056e-05,2.6635e-06,2.30883e-05,-8.07727e-06,-2.78282e-05,3.89326e-06,-3.84083e-06,-9.51917e-05,-0.000145486,-6.22397e-05,4.30459e-05,2.31268e-05,-7.85527e-05,-0.000105467,-3.50886e-05,-1.05052e-05,-0.000109452,-0.000212931,-0.000186524,-8.19998e-05,-3.91524e-05,-7.61406e-05,-0.000105024,-8.7525e-05,-6.18324e-05,-5.81995e-05,-6.66363e-05,-6.66043e-05,-5.32808e-05,-4.15026e-05,-4.37656e-05,-5.03173e-05,-5.28059e-05,-6.6176e-05,-9.32669e-05,-0.000103727,-8.59104e-05,-7.08062e-05,-6.7534e-05,-3.94531e-05,1.32705e-05,2.60491e-05,-1.45181e-05,-1.288e-05,8.61059e-05,0.000171687,0.000123353,2.75062e-05,5.95653e-05,0.000180887,0.00017424,-2.91972e-05,6.31941e-05,5.30479e-05,-5.93317e-05,-0.00012324,-7.06189e-05,-3.17284e-06,3.35048e-06,-6.8577e-06,-8.04745e-06,-3.16803e-05,-5.20587e-05,-2.02948e-05,9.98122e-06,-2.79345e-05,-6.49701e-05,-1.63076e-05,4.91742e-05,3.26545e-05,-1.82853e-05,-1.40456e-05,1.53821e-05,-2.64438e-06,-4.6307e-05,-4.17614e-05,2.2657e-05,8.02407e-05,5.47906e-05,-5.61277e-05,-0.000157649,-0.000152786,-5.92476e-05,1.99449e-05,2.9071e-05,6.02565e-06,1.05913e-05,5.43439e-05,9.70045e-05,9.70938e-05,7.02453e-05,7.24953e-05,0.000109358,0.000115227,5.52564e-05,-1.62709e-05,-3.59749e-05,-7.42947e-06,2.95913e-05,4.82499e-05,4.3759e-05,4.19655e-05,8.19403e-05,0.000146823,0.000155986,7.41539e-05,-2.40042e-05,-4.64734e-05,3.23625e-06,4.62218e-05,3.59917e-05,1.38071e-05,4.36617e-05,0.000105337,0.000110613
[3;1] Real,-9.83674e-05,-1.08401e-05,3.20942e-05,-1.41716e-05,-3.79571e-05,-3.75715e-06,-1.04129e-05,-7.1472e-05,-8.36767e-05,-3.32646e-05,-1.14315e-05,-3.50942e-05,-4.02294e-05,-2.1994e-05,-3.24915e-05,-6.94241e-05,-6.44883e-05,2.359e-05,0.000130408,0.000127172,-2.5996e-06,-8.74735e-05,-2.2039e-06,0.000116821,8.56331e-05,-2.38203e-05,-3.1972e-05,4.12776e-05,6.29283e-05,2.76629e-05,-7.04941e-07,-2.87633e-05,-5.99039e-05,-4.88834e-05,-1.76025e-05,-4.32784e-05,-0.00010143,-9.0664e-05,-6.75061e-06,5.66314e-05,5.33274e-05,1.79036e-05,-1.04419e-05,-2.06306e-05,-1.38873e-05,3.85748e-06,1.99663e-05,1.33088e-05,-2.88281e-05,-7.88469e-05,-9.0146e-05,-6.31814e-05,-3.39773e-05,-4.50925e-06,3.28876e-05,3.52752e-05,-2.10144e-05,-6.55102e-05,-3.98681e-05,1.06827e-06,-2.41225e-06,-1.23319e-05,6.34199e-06,2.25564e-06,3.91088e-05,3.72897e-05,4.42663e-05,8.4075e-05,7.11746e-05,-5.66183e-06,-1.17574e-05,8.82085e-05,0.000131308,4.94547e-05,-3.21807e-06,4.6009e-05,6.41661e-05,6.53139e-06,1.27026e-06,5.67781e-05,2.20917e-05,-0.000107874,-0.000158944,-7.1504e-05,3.0751e-05,6.02316e-05,5.97992e-05,8.91297e-05,0.000127245,9.2207e-05,-4.17568e-05,-0.000154677,-0.000111109,2.39576e-05,7.14959e-05,2.5208e-05,2.65716e-05,8.13088e-05,6.30941e-05,-2.45877e-05,-5.41346e-05,-1.54249e-05,-5.29091e-06,-1.28087e-05,4.38689e-05,0.000105358,4.61704e-05,-6.35336e-05,-4.11553e-05,7.01297e-05,5.04464e-05,-9.53459e-05,-0.000132288,-2.28544e-05,2.54934e-05,-2.92155e-05,-2.27827e-05,3.52974e-05,-2.028e-05,-0.000134567,-0.000110044,4.9843e-06,1.45668e-05,-5.55836e-05,-5.37468e-05,-3.90204e-06,-7.31175e-07,-1.28928e-06
[3;1] Imag,-5.8812e-05,2.3981e-05,1.47332e-05,-3.57667e-05,-2.27631e-05,3.26061e-06,-4.03663e-05,-8.84809e-05,-6.07019e-05,-1.47251e-05,-2.15607e-05,-4.23607e-05,-3.07902e-05,-2.19786e-05,-5.09697e-05,-7.64361e-05,-3.0036e-05,8.28582e-05,0.000148909,7.02211e-05,-6.39905e-05,-6.30769e-05,6.85421e-05,0.000121969,2.74326e-05,-4.50747e-05,3.54118e-06,6.28659e-05,4.78446e-05,1.11123e-05,-1.30683e-05,-4.63531e-05,-6.10806e-05,-3.07108e-05,-2.10538e-05,-7.4726e-05,-0.000108935,-5.26754e-05,3.32235e-05,6.21478e-05,3.61912e-05,1.85005e-06,-1.77169e-05,-1.93462e-05,-5.75161e-06,1.33888e-05,2.07578e-05,-3.86175e-06,-5.60293e-05,-9.11297e-05,-7.90751e-05,-4.72317e-05,-2.08272e-05,1.44988e-05,4.23775e-05,1.20116e-05,-5.12631e-05,-6.02393e-05,-1.5075e-05,4.1383e-06,-1.10501e-05,-4.44805e-06,1.1537e-05,-2.34906e-05,4.27805e-05,3.47625e-05,6.43506e-05,8.93078e-05,3.37285e-05,-2.53856e-05,3.27895e-05,0.000127226,9.9361e-05,9.01425e-06,1.43319e-05,6.75423e-05,3.83711e-05,-9.36915e-06,3.0114e-05,5.78357e-05,-4.07081e-05,-0.000153123,-0.000126832,-1.30087e-05,5.38241e-05,5.85517e-05,7.01968e-05,0.000111734,0.000123232,3.35675e-05,-0.000111992,-0.000154532,-4.26573e-05,6.55354e-05,5.09116e-05,1.39345e-05,5.56625e-05,8.61981e-05,1.95175e-05,-5.16319e-05,-3.67858e-05,-3.8252e-06,-1.32133e-05,7.02446e-06,8.37212e-05,9.24402e-05,-1.52363e-05,-7.39598e-05,1.75263e-05,8.53157e-05,-2.06624e-05,-0.000138768,-8.4053e-05,1.96109e-05,9.30536e-07,-4.0347e-05,1.16253e-05,2.57675e-05,-8.46825e-05,-0.000144218,-4.96786e-05,2.79475e-05,-2.15698e-05,-6.70053e-05,-2.71e-05,3.82576e-06,-5.84031e-06,1.53692e-05
[3;2] Real,3.03118e-05,6.4602e-05,5.88683e-05,0.000103683,0.00014647,9.32405e-05,-1.01205e-05,-5.7032e-05,-4.21063e-05,-3.94001e-05,-7.70147e-05,-0.000100029,-5.6068e-05,1.64498e-05,4.01681e-05,2.58439e-05,4.10952e-05,6.1909e-05,1.21132e-05,-6.44963e-05,-6.24996e-05,-5.62165e-06,2.78137e-05,7.75442e-05,0.00017306,0.000183008,3.89729e-05,-8.09659e-05,-3.51765e-05,4.11688e-05,3.73959e-06,-4.81387e-05,3.04853e-06,6.9214e-05,4.5089e-05,-5.16441e-06,6.3809e-06,4.99914e-05,8.0003e-05,0.000117188,0.00016222,0.000155142,7.79326e-05,8.92606e-06,1.99473e-05,7.19053e-05,7.69463e-05,3.86911e-05,4.12261e-05,9.55455e-05,0.000114012,6.96952e-05,4.59239e-05,7.4673e-05,7.01784e-05,-1.00197e-05,-7.76159e-05,-5.69989e-05,3.995e-06,2.55331e-05,2.14307e-06,-2.18154e-05,-1.34295e-05,2.68999e-05,3.50401e-05,3.25379e-05,-1.48653e-05,-3.19698e-05,-1.3088e-05,-2.08433e-05,-3.92458e-05,-1.30965e-05,2.15878e-05,5.66182e-07,-4.52757e-05,-4.50603e-05,1.85383e-06,4.28456e-05,3.96435e-05,-1.38986e-05,-9.18666e-05,-0.000141374,-0.000118656,-3.09678e-05,5.59273e-05,6.60428e-05,3.14e-06,-3.22629e-05,2.27068e-05,9.23413e-05,8.90382e-05,5.9683e-05,7.44019e-05,7.33095e-05,-9.76082e-06,-8.40631e-05,-4.69702e-05,2.42745e-05,8.11858e-06,-5.78328e-05,-7.75297e-05,-6.64305e-05,-6.96687e-05,-4.85477e-05,2.39955e-05,8.6059e-05,9.23449e-05,7.03495e-05,3.35229e-05,-2.35528e-05,-4.10512e-05,4.0486e-05,0.000141602,0.00013037,2.87991e-05,-2.8474e-05,-1.48925e-05,-1.60253e-05,-3.78046e-05,-7.03623e-06,4.52619e-05,9.09072e-06,-8.97267e-05,-0.000107233,-2.13848e-05,4.62655e-05,4.32426e-05,2.72331e-05
